Straße;Hausnr;PLZ;Ort;Preis;Wohnfläche;Grundstücksfläche;Zimmer;Typ;Baujahr;Beschreibung;Provision;Energieausweis-Klasse;Energieverbrauch;Kontakt Name;Kontakt Telefon;Kontakt E-Mail;Exposé-Nr;Notizen;Status
Beethovenweg;115;65339;Wiesbaden;1.170.000,00;105;360;4;haus;1924;Massives Einfamilienhaus mit Keller, Terrasse und Obstgarten.;Provisionsfrei;E;141;Monika Hartmann;+49 611 44019337;monika.hartmann@immobilien-agentur.de;IS-2024-6934;WEG-Protokolle der letzten 3 Jahre angefordert.;verfuegbar
Brückenring;70;18694;Rostock;465.000,00;90;;1,5;wohnung;1982;Kompakte Single-Wohnung mit durchdachtem Grundriss, ideal als Kapitalanlage.;4,76% inkl. MwSt.;F;170;Uwe Klein;+49 511 43436200;uwe.klein@immobilien-partner.de;IS-2024-0411;WEG-Protokolle der letzten 3 Jahre angefordert.;verfuegbar
Kaisersteig;2;70752;Stuttgart;395.000,00;96;;3;wohnung;1987;Stilvolle Altbauwohnung mit hohen Decken und Stuck.;Provisionsfrei;C;86;Jürgen Becker;+49 89 88623195;juergen.becker@immobilien-zentrale.de;IS-2024-0851;Mieter hat Vorkaufsrecht, muss zuerst angefragt werden.;verfuegbar
Bachweg;42;68742;Mannheim;1.385.000,00;159;820;5,5;haus;1910;Freistehendes Einfamilienhaus mit großem Garten und Doppelgarage.;3,57% inkl. MwSt.;E;157;Daniel Walter;+49 211 45310193;daniel.walter@immobilien-kontor.de;IS-2024-8480;Mieter hat Vorkaufsrecht, muss zuerst angefragt werden.;verfuegbar
Heidepfad;25;24811;Kiel;455.000,00;157;;3;wohnung;2025;Sonnige Etagenwohnung in familienfreundlicher Wohngegend.;Auf Anfrage;E;136;Uwe Peters;+49 431 40937060;uwe.peters@immobilien-zentrale.de;IS-2024-0688;Teilfläche ist vermietet, Mieteinnahmen ca. 800 €/Monat.;verfuegbar
Burgdamm;88;23108;Lübeck;325.000,00;125;;1;wohnung;1999;Kompakte Single-Wohnung mit durchdachtem Grundriss, ideal als Kapitalanlage.;Provisionsfrei;G;238;Klaus König;+49 451 41446841;klaus.koenig@immobilien-service.de;IS-2024-8481;Schornsteinfeger-Protokoll liegt vor, keine Beanstandungen.;verfuegbar
Brunnenplatz;85;10167;Berlin;705.000,00;;2190;;grundstueck;;Sonniges Eckgrundstück mit Südausrichtung, bebaubar nach §34 BauGB.;Provisionsfrei;;;Michael Schäfer;+49 30 85254147;michael.schaefer@immobilien-kontor.de;IS-2024-7940;Objekt wurde als Kapitalanlage genutzt, aktuelle Rendite 4,2%.;verfuegbar
Kirchstraße;65;24950;Kiel;95.000,00;;1630;;grundstueck;;Ebenes Grundstück in gewachsener Siedlung, ruhige Sackgassenlage.;Provisionsfrei;;;Uwe Peters;+49 431 40937060;uwe.peters@immobilien-zentrale.de;IS-2024-9433;Eigentümer ist umzugsbedingt verhandlungsbereit.;verfuegbar
Marktring;100;55497;Mainz;250.000,00;134;;1;wohnung;1973;Ruhig gelegene Wohnung im Grünen mit Tiefgaragenstellplatz.;5,95% inkl. MwSt.;H;293;Ralf Lange;+49 30 87484122;ralf.lange@immobilien-kontor.de;IS-2024-7109;;reserviert
Schlossweg;102b;69471;Heidelberg;90.000,00;141;;2,5;wohnung;1961;Gepflegte Eigentumswohnung mit moderner Einbauküche und Stellplatz.;Provisionsfrei;E;151;Stefan Hoffmann;+49 241 17932038;stefan.hoffmann@immobilien-zentrale.de;IS-2024-6174;Objekt steht seit 3 Monaten leer, sofort beziehbar.;verfuegbar
Heidedamm;58;10345;Berlin;690.000,00;135;990;7;haus;1951;Großzügiges Landhaus mit Pool, Sauna und Einliegerwohnung.;3,57% inkl. MwSt.;D;116;Ralf Lange;+49 30 87484122;ralf.lange@immobilien-kontor.de;IS-2024-8624;Objekt steht seit 3 Monaten leer, sofort beziehbar.;verfuegbar
Goethedamm;35;79240;Freiburg;505.000,00;221;1180;7,5;haus;1941;Renoviertes Fachwerkhaus mit modernem Anbau und historischem Charme.;5,95% inkl. MwSt.;D;130;Sabine Meyer;+49 201 97445827;sabine.meyer@immobilien-agentur.de;IS-2024-8971;;verfuegbar
Ringgasse;90;68585;Mannheim;255.000,00;158;;2,5;wohnung;1996;Gemütliche Dachgeschosswohnung mit Galerie und Skyline-Blick.;2,38% inkl. MwSt.;A+;11;Uwe Peters;+49 431 40937060;uwe.peters@immobilien-zentrale.de;IS-2024-6247;Mehrere Interessenten vorhanden, Bieterverfahren möglich.;verfuegbar
Eichengasse;8;44328;Dortmund;305.000,00;168;1190;5,5;haus;1971;Charmante Stadtvilla mit Jugendstil-Elementen, kernsaniert.;3,57% inkl. MwSt.;F;175;Monika Hartmann;+49 611 44019337;monika.hartmann@immobilien-agentur.de;IS-2024-0508;Objekt wurde als Kapitalanlage genutzt, aktuelle Rendite 4,2%.;verfuegbar
Sternweg;97;14382;Potsdam;445.000,00;147;;4;wohnung;1982;Ruhig gelegene Wohnung im Grünen mit Tiefgaragenstellplatz.;Provisionsfrei;D;122;Sophia Werner;+49 331 47343729;sophia.werner@immobilien-zentrale.de;IS-2024-3329;Erstbesichtigung durchgeführt, Interessent meldet sich nächste Woche.;verfuegbar
Marktstraße;88a;40620;Düsseldorf;2.295.000,00;557;1590;;gewerbe;1975;Coworking-geeignete Fläche im Loft-Stil mit Glasfaseranschluss.;5,95% inkl. MwSt.;F;162;Martin Walter;+49 30 78329059;martin.walter@immobilien-service.de;IS-2024-2816;Energetische Sanierung geplant, Fördermittel beantragt.;verfuegbar
Buchenallee;6;10920;Berlin;2.085.000,00;633;230;;gewerbe;2000;Hotel-Gewerbeeinheit mit 15 Zimmern, Frühstücksraum und Rezeption.;5,95% inkl. MwSt.;D;104;Martin Walter;+49 30 78329059;martin.walter@immobilien-service.de;IS-2024-4914;Gute Nachbarschaft, ruhige Wohnstraße mit wenig Durchgangsverkehr.;verkauft
Birkenring;20;44619;Dortmund;550.000,00;100;780;4;haus;2022;Großzügiges Landhaus mit Pool, Sauna und Einliegerwohnung.;Provisionsfrei;E;158;Marie Hoffmann;+49 231 58842211;marie.hoffmann@immobilien-kontor.de;IS-2024-9395;Mehrere Interessenten vorhanden, Bieterverfahren möglich.;reserviert
Seeweg;27c;86157;Augsburg;95.000,00;;540;;grundstueck;;Baugrundstück mit genehmigter Bauvoranfrage für Doppelhaus.;4,76% inkl. MwSt.;;;Martin Huber;+49 341 56405343;martin.huber@immobilien-service.de;IS-2024-4222;Gute Nachbarschaft, ruhige Wohnstraße mit wenig Durchgangsverkehr.;verfuegbar
Spreestraße;23;55321;Mainz;405.000,00;250;1030;8;haus;1974;Energetisch saniertes Siedlungshaus mit neuer Heizung und Dach.;Provisionsfrei;C;89;Andreas Wolf;+49 381 82772961;andreas.wolf@immobilien-kontor.de;IS-2024-8657;Erstbesichtigung durchgeführt, Interessent meldet sich nächste Woche.;verfuegbar
Birkenweg;110;70151;Stuttgart;1.050.000,00;246;880;5,5;haus;1936;Architektenhaus mit offenem Wohnkonzept und bodentiefen Fenstern.;Provisionsfrei;H;265;Thomas Meyer;+49 451 47180591;thomas.meyer@immobilien-profis.de;IS-2024-3379;Objekt wird derzeit noch bewohnt, Besichtigung nur nach Absprache.;verkauft
Turmdamm;120;14226;Potsdam;710.000,00;268;1050;4,5;haus;1948;Massives Einfamilienhaus mit Keller, Terrasse und Obstgarten.;Provisionsfrei;C;77;Sophia Werner;+49 331 47343729;sophia.werner@immobilien-zentrale.de;IS-2024-1908;Verkäufer möchte vor Verkauf noch die Küche erneuern.;verfuegbar
Erlenpfad;37;76500;Karlsruhe;320.000,00;171;390;4;haus;1970;Reihenendhaus mit seitlichem Gartenanteil und Sonnenterrasse.;3,57% inkl. MwSt.;F;187;Lisa Meyer;+49 241 32279363;lisa.meyer@immobilien-zentrale.de;IS-2024-1425;;verkauft
Kastaniengasse;105;01692;Dresden;2.215.000,00;499;1360;;gewerbe;2024;Gastronomie-Fläche mit voll ausgestatteter Küche und Außenbestuhlung.;Auf Anfrage;D;103;Martin Walter;+49 30 78329059;martin.walter@immobilien-service.de;IS-2024-7934;Mehrere Interessenten vorhanden, Bieterverfahren möglich.;verfuegbar
Sternsteig;111;55170;Mainz;1.070.000,00;209;820;7,5;haus;1982;Gepflegtes Reihenhaus in familienfreundlicher Wohnlage.;3,57% inkl. MwSt.;A;44;Thomas Lehmann;+49 421 65955818;thomas.lehmann@immobilien-profis.de;IS-2024-0842;Kaufpreis wurde kürzlich reduziert, gutes Verhandlungspotenzial.;verfuegbar
Hauptring;2;44500;Dortmund;1.020.000,00;250;370;8;haus;2009;Großzügiges Landhaus mit Pool, Sauna und Einliegerwohnung.;Auf Anfrage;C;100;Marie Hoffmann;+49 231 58842211;marie.hoffmann@immobilien-kontor.de;IS-2024-4209;Dach wurde 2022 komplett erneuert, Rechnungen liegen vor.;reserviert
Rosensteig;35c;80325;München;475.000,00;139;;2,5;wohnung;1996;Helle 2,5-Zimmer-Wohnung mit Balkon in ruhiger Lage.;3,57% inkl. MwSt.;D;111;Markus Schwarz;+49 89 83825881;markus.schwarz@immobilien-partner.de;IS-2024-2466;Eigentümer ist umzugsbedingt verhandlungsbereit.;verkauft
Sterndamm;21;28980;Bremen;405.000,00;188;1060;4;haus;1993;Moderner Neubau in energieeffizienter Bauweise, KfW-40-Standard.;3,57% inkl. MwSt.;D;115;Michael Richter;+49 40 93434066;michael.richter@immobilien-kontor.de;IS-2024-0808;Grundbuch ist lastenfrei, keine Altlasten bekannt.;reserviert
Neckarweg;98a;28392;Bremen;770.000,00;;1560;;grundstueck;;Bauland in Neubaugebiet mit allen Anschlüssen, sofort bebaubar.;3,57% inkl. MwSt.;;;Thomas Lehmann;+49 421 65955818;thomas.lehmann@immobilien-profis.de;IS-2024-4176;Käufer hat Finanzierungszusage, Notartermin wird vereinbart.;verkauft
Sternsteig;93;44805;Dortmund;570.000,00;;1600;;grundstueck;;Attraktives Grundstück in Seenähe, ideal für Ferienhausbebauung.;3,57% inkl. MwSt.;;;Marie Hoffmann;+49 231 58842211;marie.hoffmann@immobilien-kontor.de;IS-2024-7095;Gute Nachbarschaft, ruhige Wohnstraße mit wenig Durchgangsverkehr.;verfuegbar
Marktstraße;71c;52398;Aachen;250.000,00;143;;4;wohnung;1962;Kompakte Single-Wohnung mit durchdachtem Grundriss, ideal als Kapitalanlage.;Provisionsfrei;A;40;Hannah Huber;+49 221 57177965;hannah.huber@immobilien-partner.de;IS-2024-0710;;reserviert
Birkenplatz;88a;90927;Nürnberg;780.000,00;162;760;6,5;haus;1917;Renoviertes Fachwerkhaus mit modernem Anbau und historischem Charme.;2,38% inkl. MwSt.;G;227;Michael Richter;+49 40 93434066;michael.richter@immobilien-kontor.de;IS-2024-2794;Bodenrichtwert laut Gutachterausschuss: 320 €/m².;verfuegbar
Mühlengasse;2;45666;Essen;845.000,00;204;550;7;haus;2009;Gepflegtes Reihenhaus in familienfreundlicher Wohnlage.;3,57% inkl. MwSt.;B;65;Michael Köhler;+49 201 30833235;michael.koehler@immobilien-partner.de;IS-2024-7979;Besichtigung nur samstags möglich, Eigentümer arbeitet im Ausland.;verfuegbar
Händelsteig;119;40605;Düsseldorf;190.000,00;94;;4;wohnung;1990;Zentral gelegene Stadtwohnung, fußläufig zu allen Annehmlichkeiten.;Provisionsfrei;H;282;Daniel Walter;+49 211 45310193;daniel.walter@immobilien-kontor.de;IS-2024-5446;Schornsteinfeger-Protokoll liegt vor, keine Beanstandungen.;verfuegbar
Marktring;83;45687;Essen;625.000,00;104;;3,5;wohnung;1958;Zentral gelegene Stadtwohnung, fußläufig zu allen Annehmlichkeiten.;2,38% inkl. MwSt.;G;214;Katharina Schmid;+49 201 76438174;katharina.schmid@immobilien-kontor.de;IS-2024-5012;;verkauft
Mozartdamm;88;18501;Rostock;740.000,00;86;;2,5;wohnung;1968;Penthouse mit umlaufender Dachterrasse und Panoramablick.;5,95% inkl. MwSt.;G;236;Andreas Wolf;+49 381 82772961;andreas.wolf@immobilien-kontor.de;IS-2024-3345;;verfuegbar
Erlenplatz;87;55806;Mainz;180.000,00;94;;3,5;wohnung;1974;Moderne Neubauwohnung mit offener Küche und bodentiefen Fenstern.;4,76% inkl. MwSt.;E;159;Alexander Schmidt;+49 711 15977656;alexander.schmidt@immobilien-zentrale.de;IS-2024-8327;Mehrere Interessenten vorhanden, Bieterverfahren möglich.;reserviert
Spreeweg;15;55426;Mainz;645.000,00;568;1720;;gewerbe;1980;Werkstatt mit Hebebühne, Sozialräumen und separatem Büro.;5,95% inkl. MwSt.;B;73;Stefan Hoffmann;+49 241 17932038;stefan.hoffmann@immobilien-zentrale.de;IS-2024-6103;Energetische Sanierung geplant, Fördermittel beantragt.;reserviert
Wagnersteig;23;45991;Essen;365.000,00;;1970;;grundstueck;;Attraktives Grundstück in Seenähe, ideal für Ferienhausbebauung.;Auf Anfrage;;;Sabine Meyer;+49 201 97445827;sabine.meyer@immobilien-agentur.de;IS-2024-5281;Gute Nachbarschaft, ruhige Wohnstraße mit wenig Durchgangsverkehr.;verfuegbar
Brunnenpfad;47;65166;Wiesbaden;620.000,00;;2080;;grundstueck;;Grundstück mit Altbestand (Abriss geplant), zentrale Lage.;Auf Anfrage;;;Hannah Huber;+49 221 57177965;hannah.huber@immobilien-partner.de;IS-2024-7767;Eigentümer ist umzugsbedingt verhandlungsbereit.;verkauft
Ulmengasse;32;23682;Lübeck;1.130.000,00;182;220;4,5;haus;1990;Reihenendhaus mit seitlichem Gartenanteil und Sonnenterrasse.;Provisionsfrei;G;205;Klaus König;+49 451 41446841;klaus.koenig@immobilien-service.de;IS-2024-9271;;verfuegbar
Schlossallee;75;86580;Augsburg;245.000,00;39;;5;wohnung;1999;Penthouse mit umlaufender Dachterrasse und Panoramablick.;5,95% inkl. MwSt.;A+;18;Andreas Bauer;+49 821 80235490;andreas.bauer@immobilien-service.de;IS-2024-0439;Energetische Sanierung geplant, Fördermittel beantragt.;verfuegbar
Brückenweg;61;50969;Köln;325.000,00;96;;2;wohnung;2009;Gemütliche Dachgeschosswohnung mit Galerie und Skyline-Blick.;Auf Anfrage;B;66;Daniel Krüger;+49 221 83844869;daniel.krueger@immobilien-profis.de;IS-2024-1358;;verfuegbar
Alsterstraße;54;48925;Münster;310.000,00;;2080;;grundstueck;;Voll erschlossenes Baugrundstück in ruhiger Wohnlage.;3,57% inkl. MwSt.;;;Susanne Lehmann;+49 511 54993841;susanne.lehmann@immobilien-agentur.de;IS-2024-9833;;verfuegbar
Marktallee;18;60598;Frankfurt;190.000,00;149;;3;wohnung;1977;Großzügige Familienwohnung mit separatem Gäste-WC und Abstellraum.;3,57% inkl. MwSt.;C;76;Sabine Bauer;+49 69 40724868;sabine.bauer@immobilien-zentrale.de;IS-2024-2073;Eigentümer ist umzugsbedingt verhandlungsbereit.;reserviert
Marktgasse;19;40299;Düsseldorf;1.165.000,00;232;510;5,5;haus;2006;Großzügiges Landhaus mit Pool, Sauna und Einliegerwohnung.;3,57% inkl. MwSt.;G;236;Daniel Walter;+49 211 45310193;daniel.walter@immobilien-kontor.de;IS-2024-5568;;verfuegbar
Mozartgasse;17;69982;Heidelberg;285.000,00;121;;3,5;wohnung;1997;Moderne Neubauwohnung mit offener Küche und bodentiefen Fenstern.;Auf Anfrage;F;184;Andreas Wolf;+49 381 82772961;andreas.wolf@immobilien-kontor.de;IS-2024-5437;Kaufpreis wurde kürzlich reduziert, gutes Verhandlungspotenzial.;verfuegbar
Seepfad;37a;60480;Frankfurt;715.000,00;149;;2;wohnung;2021;Helle 2-Zimmer-Wohnung mit Balkon in ruhiger Lage.;3,57% inkl. MwSt.;F;160;Tobias Köhler;+49 341 21711603;tobias.koehler@immobilien-zentrale.de;IS-2024-9075;Bodenrichtwert laut Gutachterausschuss: 320 €/m².;reserviert
Mainpfad;90b;10378;Berlin;1.280.000,00;794;100;;gewerbe;2011;Moderne Praxisräume im Ärztehaus, barrierefrei und klimatisiert.;Provisionsfrei;C;92;Ralf Lange;+49 30 87484122;ralf.lange@immobilien-kontor.de;IS-2024-2421;WEG-Protokolle der letzten 3 Jahre angefordert.;verfuegbar
Kastanienpfad;8;48179;Münster;1.380.000,00;102;730;7,5;haus;1937;Zweifamilienhaus mit separaten Eingängen, ideal zur Kapitalanlage.;4,76% inkl. MwSt.;E;149;Susanne Lehmann;+49 511 54993841;susanne.lehmann@immobilien-agentur.de;IS-2024-4485;Objekt wurde als Kapitalanlage genutzt, aktuelle Rendite 4,2%.;verfuegbar
Dorfgasse;98c;89962;Ulm;135.000,00;102;;3,5;wohnung;1994;Frisch renovierte Wohnung mit Parkettböden und Fußbodenheizung.;3,57% inkl. MwSt.;G;246;Hannah Huber;+49 221 57177965;hannah.huber@immobilien-partner.de;IS-2024-8609;Mieter hat Vorkaufsrecht, muss zuerst angefragt werden.;reserviert
Marktring;51;52165;Aachen;410.000,00;261;840;7,5;haus;1969;Energetisch saniertes Siedlungshaus mit neuer Heizung und Dach.;5,95% inkl. MwSt.;F;190;Stefan Hoffmann;+49 241 17932038;stefan.hoffmann@immobilien-zentrale.de;IS-2024-7847;Gute Nachbarschaft, ruhige Wohnstraße mit wenig Durchgangsverkehr.;verfuegbar
Spreegasse;93;52762;Aachen;1.475.000,00;222;360;7;haus;1920;Großzügiges Landhaus mit Pool, Sauna und Einliegerwohnung.;2,38% inkl. MwSt.;C;98;Stefan Hoffmann;+49 241 17932038;stefan.hoffmann@immobilien-zentrale.de;IS-2024-2655;;verkauft
Bismarckdamm;72;45732;Essen;765.000,00;;1000;;grundstueck;;Baugrundstück mit genehmigter Bauvoranfrage für Doppelhaus.;Provisionsfrei;;;Michael Köhler;+49 201 30833235;michael.koehler@immobilien-partner.de;IS-2024-3565;Bodenrichtwert laut Gutachterausschuss: 320 €/m².;verkauft
Seering;110;23925;Lübeck;1.245.000,00;206;720;6,5;haus;1995;Energetisch saniertes Siedlungshaus mit neuer Heizung und Dach.;3,57% inkl. MwSt.;C;89;Sophia Fischer;+49 451 12112027;sophia.fischer@immobilien-profis.de;IS-2024-5632;;verfuegbar
Rheinweg;43;28150;Bremen;1.585.000,00;571;1280;;gewerbe;2016;Produktionshalle mit Bürotrakt, Laderampe und ausreichend Parkplätzen.;Provisionsfrei;A;36;Thomas Lehmann;+49 421 65955818;thomas.lehmann@immobilien-profis.de;IS-2024-3020;Objekt steht seit 3 Monaten leer, sofort beziehbar.;verfuegbar
Mühlengasse;7;01511;Dresden;600.000,00;;1240;;grundstueck;;Hanggrundstück mit Fernblick, ideal für Architektenhaus.;Provisionsfrei;;;Klaus Meyer;+49 351 35066498;klaus.meyer@immobilien-agentur.de;IS-2024-2188;Schornsteinfeger-Protokoll liegt vor, keine Beanstandungen.;verfuegbar
Rathausring;2;76118;Karlsruhe;310.000,00;38;;3;wohnung;1971;Kompakte Single-Wohnung mit durchdachtem Grundriss, ideal als Kapitalanlage.;3,57% inkl. MwSt.;H;250;Sophia Fischer;+49 451 12112027;sophia.fischer@immobilien-profis.de;IS-2024-7807;Mieter hat Vorkaufsrecht, muss zuerst angefragt werden.;verkauft
Wiesenstraße;67;53570;Bonn;1.070.000,00;169;1120;5;haus;1970;Großzügiges Landhaus mit Pool, Sauna und Einliegerwohnung.;4,76% inkl. MwSt.;C;88;Hannah Huber;+49 221 57177965;hannah.huber@immobilien-partner.de;IS-2024-6464;Objekt steht seit 3 Monaten leer, sofort beziehbar.;verfuegbar
Spreeplatz;46;52843;Aachen;1.060.000,00;129;320;6,5;haus;1990;Bungalow auf einer Ebene, ideal für barrierefreies Wohnen.;5,95% inkl. MwSt.;A;48;Stefan Hoffmann;+49 241 17932038;stefan.hoffmann@immobilien-zentrale.de;IS-2024-9360;Besichtigung nur samstags möglich, Eigentümer arbeitet im Ausland.;verfuegbar
Burgdamm;24;01517;Dresden;630.000,00;147;1560;;gewerbe;2007;Atelier- und Showroom-Fläche in sanierter Industriehalle.;2,38% inkl. MwSt.;A+;13;Klaus Meyer;+49 351 35066498;klaus.meyer@immobilien-agentur.de;IS-2024-7334;Objekt wird derzeit noch bewohnt, Besichtigung nur nach Absprache.;verkauft
Felddamm;6;89485;Ulm;565.000,00;53;;4,5;wohnung;1998;Kompakte Single-Wohnung mit durchdachtem Grundriss, ideal als Kapitalanlage.;Provisionsfrei;A+;17;Lisa Meyer;+49 241 32279363;lisa.meyer@immobilien-zentrale.de;IS-2024-4524;Objekt wird derzeit noch bewohnt, Besichtigung nur nach Absprache.;verfuegbar
Elbering;67;53236;Bonn;580.000,00;144;;4;wohnung;2009;Zentral gelegene Stadtwohnung, fußläufig zu allen Annehmlichkeiten.;3,57% inkl. MwSt.;H;255;Andreas Bauer;+49 821 80235490;andreas.bauer@immobilien-service.de;IS-2024-7088;WEG-Protokolle der letzten 3 Jahre angefordert.;verfuegbar
Heidering;107;50308;Köln;1.255.000,00;106;670;8;haus;2013;Massives Einfamilienhaus mit Keller, Terrasse und Obstgarten.;3,57% inkl. MwSt.;G;217;Hannah Huber;+49 221 57177965;hannah.huber@immobilien-partner.de;IS-2024-2456;Energetische Sanierung geplant, Fördermittel beantragt.;verfuegbar
Kirchallee;111;89988;Ulm;745.000,00;117;950;7,5;haus;1930;Bungalow auf einer Ebene, ideal für barrierefreies Wohnen.;Auf Anfrage;B;50;Uwe Peters;+49 431 40937060;uwe.peters@immobilien-zentrale.de;IS-2024-0994;Objekt wird derzeit noch bewohnt, Besichtigung nur nach Absprache.;verfuegbar
Marktsteig;120;04656;Leipzig;350.000,00;161;220;;gewerbe;2000;Gastronomie-Fläche mit voll ausgestatteter Küche und Außenbestuhlung.;Provisionsfrei;E;148;Martin Huber;+49 341 56405343;martin.huber@immobilien-service.de;IS-2024-6049;Garagenstellplatz separat zu erwerben (15.000 €).;verfuegbar
Kaiserpfad;17;68460;Mannheim;90.000,00;57;;3,5;wohnung;1956;Großzügige Familienwohnung mit separatem Gäste-WC und Abstellraum.;Auf Anfrage;D;127;Katharina Schmid;+49 201 76438174;katharina.schmid@immobilien-kontor.de;IS-2024-1916;Gute Nachbarschaft, ruhige Wohnstraße mit wenig Durchgangsverkehr.;verfuegbar
Brunnenpfad;111;68440;Mannheim;545.000,00;166;580;5;haus;2021;Energetisch saniertes Siedlungshaus mit neuer Heizung und Dach.;Provisionsfrei;B;53;Michael Köhler;+49 201 30833235;michael.koehler@immobilien-partner.de;IS-2024-1613;Dach wurde 2022 komplett erneuert, Rechnungen liegen vor.;verkauft
Bahnhofweg;15;68190;Mannheim;685.000,00;156;430;6,5;haus;1979;Renoviertes Fachwerkhaus mit modernem Anbau und historischem Charme.;5,95% inkl. MwSt.;B;73;Stefan Hartmann;+49 911 26101943;stefan.hartmann@immobilien-service.de;IS-2024-9497;Mieter hat Vorkaufsrecht, muss zuerst angefragt werden.;verfuegbar
Wagnerstraße;102;55690;Mainz;460.000,00;248;490;7;haus;1937;Repräsentatives Stadthaus in bevorzugter Wohnlage mit Garage.;Provisionsfrei;D;107;Andreas Maier;+49 89 20970853;andreas.maier@immobilien-service.de;IS-2024-9631;Dach wurde 2022 komplett erneuert, Rechnungen liegen vor.;verfuegbar
Teichring;16;86313;Augsburg;1.205.000,00;93;490;4;haus;1952;Charmante Stadtvilla mit Jugendstil-Elementen, kernsaniert.;3,57% inkl. MwSt.;G;249;Andreas Bauer;+49 821 80235490;andreas.bauer@immobilien-service.de;IS-2024-9341;Mehrere Interessenten vorhanden, Bieterverfahren möglich.;verkauft
Moordamm;54;80545;München;1.250.000,00;109;580;5;haus;1942;Doppelhaushälfte mit Carport und pflegeleichtem Vorgarten.;Provisionsfrei;F;192;Petra Krause;+49 89 53885162;petra.krause@immobilien-service.de;IS-2024-6290;Erstbesichtigung durchgeführt, Interessent meldet sich nächste Woche.;verfuegbar
Neckargasse;63;86898;Augsburg;300.000,00;221;770;6;haus;1947;Doppelhaushälfte mit Carport und pflegeleichtem Vorgarten.;3,57% inkl. MwSt.;C;100;Andreas Bauer;+49 821 80235490;andreas.bauer@immobilien-service.de;IS-2024-4161;Erstbesichtigung durchgeführt, Interessent meldet sich nächste Woche.;verfuegbar
Wesersteig;66;28343;Bremen;760.000,00;162;780;7,5;haus;1932;Großzügiges Landhaus mit Pool, Sauna und Einliegerwohnung.;2,38% inkl. MwSt.;B;57;Martin Huber;+49 341 56405343;martin.huber@immobilien-service.de;IS-2024-1719;Käufer hat Finanzierungszusage, Notartermin wird vereinbart.;verkauft
Schillersteig;83;65619;Wiesbaden;370.000,00;133;;3;wohnung;2006;Moderne Neubauwohnung mit offener Küche und bodentiefen Fenstern.;Provisionsfrei;F;180;Andreas Bauer;+49 821 80235490;andreas.bauer@immobilien-service.de;IS-2024-1653;Objekt steht seit 3 Monaten leer, sofort beziehbar.;verfuegbar
Turmpfad;15;69552;Heidelberg;1.140.000,00;246;440;5;haus;1920;Doppelhaushälfte mit Carport und pflegeleichtem Vorgarten.;3,57% inkl. MwSt.;A+;28;Susanne Becker;+49 451 90242403;susanne.becker@immobilien-partner.de;IS-2024-4123;Grundbuch ist lastenfrei, keine Altlasten bekannt.;verfuegbar
Rathausstraße;117b;53516;Bonn;320.000,00;157;;1;wohnung;1958;Loftartige Wohnung in saniertem Fabrikgebäude, Backsteinoptik.;3,57% inkl. MwSt.;B;59;Daniel Krüger;+49 221 83844869;daniel.krueger@immobilien-profis.de;IS-2024-6800;Mehrere Interessenten vorhanden, Bieterverfahren möglich.;verfuegbar
Elbepfad;85;76373;Karlsruhe;240.000,00;;2260;;grundstueck;;Voll erschlossenes Baugrundstück in ruhiger Wohnlage.;3,57% inkl. MwSt.;;;Uwe Klein;+49 511 43436200;uwe.klein@immobilien-partner.de;IS-2024-1354;;reserviert
Bachsteig;61;79151;Freiburg;1.930.000,00;428;800;;gewerbe;2005;Hotel-Gewerbeeinheit mit 15 Zimmern, Frühstücksraum und Rezeption.;Provisionsfrei;C;91;Daniel Krüger;+49 221 83844869;daniel.krueger@immobilien-profis.de;IS-2024-7613;Grundbuch ist lastenfrei, keine Altlasten bekannt.;verfuegbar
Flusssteig;81;23736;Lübeck;535.000,00;;380;;grundstueck;;Waldrandgrundstück mit altem Baumbestand und Bachlauf.;Provisionsfrei;;;Susanne Becker;+49 451 90242403;susanne.becker@immobilien-partner.de;IS-2024-3938;Dach wurde 2022 komplett erneuert, Rechnungen liegen vor.;verfuegbar
Mainpfad;75c;44290;Dortmund;1.130.000,00;274;300;6,5;haus;2015;Doppelhaushälfte mit Carport und pflegeleichtem Vorgarten.;3,57% inkl. MwSt.;A+;25;Sophia Werner;+49 331 47343729;sophia.werner@immobilien-zentrale.de;IS-2024-8648;Mehrere Interessenten vorhanden, Bieterverfahren möglich.;verkauft
Birkenplatz;66;50890;Köln;670.000,00;99;;4,5;wohnung;1959;Frisch renovierte Wohnung mit Parkettböden und Fußbodenheizung.;2,38% inkl. MwSt.;G;243;Klaus Meyer;+49 351 35066498;klaus.meyer@immobilien-agentur.de;IS-2024-8513;;verfuegbar
Elbeallee;16;90859;Nürnberg;865.000,00;135;390;6,5;haus;1927;Großzügiges Landhaus mit Pool, Sauna und Einliegerwohnung.;3,57% inkl. MwSt.;A;40;Michael Köhler;+49 201 30833235;michael.koehler@immobilien-partner.de;IS-2024-0462;Teilfläche ist vermietet, Mieteinnahmen ca. 800 €/Monat.;verkauft
Heideweg;110;79469;Freiburg;660.000,00;67;;4,5;wohnung;1966;Moderne Neubauwohnung mit offener Küche und bodentiefen Fenstern.;3,57% inkl. MwSt.;B;50;Marie Hoffmann;+49 231 58842211;marie.hoffmann@immobilien-kontor.de;IS-2024-1000;Bodenrichtwert laut Gutachterausschuss: 320 €/m².;verfuegbar
